File Name,Trial Number,Initial Soft Constraints,Initial Hard Constraints,Final Soft Constraints,Final Hard Constraints,Timestamp,feasible size,Elapsed Time (seconds),Improvement
hec-s-92,0,0.4509909151019447,0.0,0.41858350769453734,0.0,2024-07-14 10:29:01,49,11.819549083709717,0.032407407407407385
hec-s-92,0,0.45606833600536223,0.0,0.4406000063404074,0.0,2024-07-14 10:29:30,79,12.298208951950073,0.015468329664954816
car-s-91,0,0.40811877113175,0.0,0.4060109998707529,0.0,2024-07-14 10:54:57,22,1463.7170753479004,0.0021077712609970933
car-f-92,1,0.4072162981384712,0.0,0.4072162981384712,0.0,2024-07-14 10:56:52,73,115.84960269927979,0.0
ear-f-83,2,0.44184405437754626,0.0,0.435658018272261,0.0,2024-07-14 10:57:23,60,30.19299578666687,0.006186036105285231
kfu-s-93,3,0.4965684359140758,0.0,0.4951702643269912,0.0,2024-07-14 10:58:37,36,74.46727681159973,0.0013981715870846068
sta-f-83,4,0.511313613844623,0.0,0.511313613844623,0.0,2024-07-14 10:58:49,53,12.069625854492188,0.0
tre-s-92,5,0.43417012406643957,0.0,0.43417012406643957,0.0,2024-07-14 10:59:14,69,24.872623443603516,0.0
uta-s-92,6,0.4051970096489543,0.0,0.4051970096489543,0.0,2024-07-14 11:10:19,49,665.2936432361603,0.0
yor-f-83,7,0.45602688057798557,0.0,0.4549112834679133,0.0,2024-07-14 11:11:00,48,40.455504179000854,0.0011155971100722528
hec-s-92,8,0.46017431591532837,0.0,0.42458877929041783,0.0,2024-07-14 11:11:03,14,2.9471356868743896,0.03558553662491054
lse-f-91,9,0.4549272263224877,0.0,0.4549272263224877,0.0,2024-07-14 11:13:15,7,132.05531311035156,0.0
rye-s-93,10,0.4288712500510229,0.0,0.4288712500510229,0.0,2024-07-14 11:14:54,81,99.52002310752869,0.0
ute-s-92,11,0.4932445272119185,0.0,0.4932445272119185,0.0,2024-07-14 11:15:05,25,10.359621047973633,0.0
car-s-91,12,0.40937649571035434,0.0,0.40937649571035434,0.0,2024-07-14 11:24:41,82,576.2079417705536,0.0
car-f-92,13,0.41125090867947045,0.0,0.41125090867947045,0.0,2024-07-14 11:25:23,51,42.02969169616699,0.0
ear-f-83,14,0.46637612966277575,0.0,0.46637612966277575,0.0,2024-07-14 11:25:27,3,4.017972946166992,0.0
kfu-s-93,15,0.48842575551050865,0.0,0.48842575551050865,0.0,2024-07-14 11:28:28,23,181.23282885551453,0.0
sta-f-83,16,0.5029550581113675,0.0,0.5013739913210633,0.0,2024-07-14 11:28:33,94,5.338320970535278,0.0015810667903042308
tre-s-92,17,0.4422682589140921,0.0,0.4358027416727128,0.0,2024-07-14 11:28:42,37,8.950786352157593,0.006465517241379282
uta-s-92,18,0.40792104630164083,0.0,0.4071171877807405,0.0,2024-07-14 11:33:14,42,271.50305342674255,0.0008038585209003135
yor-f-83,19,0.47888334041648956,0.0,0.47888334041648956,0.0,2024-07-14 11:33:57,11,43.052098512649536,0.0
hec-s-92,20,0.44662395949385436,0.0,0.4419943298642247,0.0,2024-07-14 11:34:00,48,2.850860834121704,0.00462962962962965
lse-f-91,21,0.4482097953381517,0.0,0.4482097953381517,0.0,2024-07-14 11:35:22,58,82.56877279281616,0.0
rye-s-93,22,0.43159285628805844,0.0,0.43159285628805844,0.0,2024-07-14 11:36:28,40,65.7978196144104,0.0
ute-s-92,23,0.48158682350258436,0.0,0.48158682350258436,0.0,2024-07-14 11:36:36,65,7.492267847061157,0.0
car-s-91,24,0.40679672424555213,0.0,0.40679672424555213,0.0,2024-07-14 11:39:12,96,156.72321343421936,0.0
car-f-92,25,0.414533440991727,0.0,0.414533440991727,0.0,2024-07-14 11:41:27,98,134.7379150390625,0.0
ear-f-83,26,0.4419328626176332,0.0,0.4419328626176332,0.0,2024-07-14 11:41:48,57,21.370015621185303,0.0
kfu-s-93,27,0.4810897373368086,0.0,0.4810897373368086,0.0,2024-07-14 11:42:21,81,32.559900760650635,0.0
sta-f-83,28,0.5397177912991836,0.0,0.5397177912991836,0.0,2024-07-14 11:42:42,23,21.059589385986328,0.0
tre-s-92,29,0.4442335711799404,0.0,0.4442335711799404,0.0,2024-07-14 11:43:04,83,21.763357162475586,0.0
uta-s-92,30,0.4078027126189047,0.0,0.4078027126189047,0.0,2024-07-14 11:45:08,83,123.72875666618347,0.0
yor-f-83,31,0.44104600509987246,0.0,0.43931948576285595,0.0,2024-07-14 11:46:15,76,66.929283618927,0.0017265193370165077
hec-s-92,32,0.45923061420432415,0.0,0.40760894178600215,0.0,2024-07-14 11:46:20,26,5.8775475025177,0.051621672418321995
lse-f-91,33,0.44704596970070865,0.0,0.44704596970070865,0.0,2024-07-14 11:46:39,95,18.4708034992218,0.0
rye-s-93,34,0.43387497008204473,0.0,0.43387497008204473,0.0,2024-07-14 11:51:43,62,304.3552212715149,0.0
ute-s-92,35,0.4694901565825479,0.0,0.4694901565825479,0.0,2024-07-14 11:51:51,79,7.923933744430542,0.0
car-s-91,36,0.3981557540917914,0.0,0.3981557540917914,0.0,2024-07-14 11:54:21,36,150.04458904266357,0.0
car-f-92,37,0.4106453982385563,0.0,0.4106453982385563,0.0,2024-07-14 11:55:26,88,64.38327956199646,0.0
ear-f-83,38,0.4439493724400716,0.0,0.4439493724400716,0.0,2024-07-14 11:55:57,36,31.1739718914032,0.0
kfu-s-93,39,0.48424414716088393,0.0,0.48424414716088393,0.0,2024-07-14 11:58:14,35,137.23969268798828,0.0
sta-f-83,40,0.5243632754911205,0.0,0.5243632754911205,0.0,2024-07-14 11:58:25,81,11.15997838973999,0.0
tre-s-92,41,0.430122482253681,0.0,0.430122482253681,0.0,2024-07-14 11:58:36,88,10.464999198913574,0.0
uta-s-92,42,0.4122027515239466,0.0,0.4122027515239466,0.0,2024-07-14 12:08:13,44,577.0295991897583,0.0
yor-f-83,43,0.4608212919677008,0.0,0.44804504887377816,0.0,2024-07-14 12:08:47,22,34.74358344078064,0.012776243093922612
hec-s-92,44,0.4370578698042626,0.0,0.40428362453918826,0.0,2024-07-14 12:08:53,96,5.424312114715576,0.03277424526507433
lse-f-91,45,0.4536214433552239,0.0,0.4536214433552239,0.0,2024-07-14 12:09:34,31,41.61052227020264,0.0
rye-s-93,46,0.4309887571107326,0.0,0.4309887571107326,0.0,2024-07-14 12:10:05,70,30.853190183639526,0.0
ute-s-92,47,0.457394914867741,0.0,0.454391057312253,0.0,2024-07-14 12:10:14,55,8.67753267288208,0.0030038575554879876
car-s-91,48,0.41252162478726856,0.0,0.41252162478726856,0.0,2024-07-14 12:15:23,98,309.00843143463135,0.0
car-f-92,49,0.42021091907344854,0.0,0.42021091907344854,0.0,2024-07-14 12:20:39,8,315.6429467201233,0.0
ear-f-83,50,0.4378428107876618,0.0,0.4378428107876618,0.0,2024-07-14 12:21:07,9,28.038259983062744,0.0
kfu-s-93,51,0.48887053208096815,0.0,0.4883282327317274,0.0,2024-07-14 12:24:05,24,178.3254189491272,0.0005422993492407713
sta-f-83,52,0.523516414963612,0.0,0.523516414963612,0.0,2024-07-14 12:24:11,85,5.8978002071380615,0.0
tre-s-92,53,0.4580722707476795,0.0,0.4545974511792655,0.0,2024-07-14 12:24:20,1,8.665099143981934,0.0034748195684140004
uta-s-92,54,0.4141287267920618,0.0,0.4141287267920618,0.0,2024-07-14 12:34:57,6,637.365719795227,0.0
yor-f-83,55,0.4461724394390141,0.0,0.4375398427539312,0.0,2024-07-14 12:35:49,57,52.54461717605591,0.008632596685082872
hec-s-92,56,0.47495539070496273,0.0,0.43637514379138254,0.0,2024-07-14 12:36:05,15,15.319604635238647,0.038580246913580196
lse-f-91,57,0.45686325494073776,0.0,0.4530902890614727,0.0,2024-07-14 12:38:13,13,128.64316630363464,0.0037729658792650667
lse-f-91,57,0.4410588170381814,0.0,0.4410588170381814,0.0,2024-07-14 12:46:41,18,57.318132162094116,0.0
rye-s-93,58,0.4345195686619392,0.0,0.43418667342951606,0.0,2024-07-14 14:08:24,34,4903.174615383148,0.000332895232423136
ute-s-92,59,0.496227481757373,0.0,0.49524884083307996,0.0,2024-07-14 14:09:02,76,38.04395842552185,0.0009786409242930616
car-s-91,60,0.4069579634201256,0.0,0.4064997522764306,0.0,2024-07-14 14:19:09,47,606.9900472164154,0.0004582111436949865
car-f-92,61,0.41389970650163277,0.0,0.41389970650163277,0.0,2024-07-14 14:21:50,62,160.78969502449036,0.0
ear-f-83,62,0.43457076932368477,0.0,0.43457076932368477,0.0,2024-07-14 14:22:17,86,26.77372121810913,0.0
kfu-s-93,63,0.48614090654267184,0.0,0.48614090654267184,0.0,2024-07-14 14:24:28,76,130.49485158920288,0.0
sta-f-83,64,0.5231367766033372,0.0,0.5231367766033372,0.0,2024-07-14 14:25:19,30,51.51479363441467,0.0
tre-s-92,65,0.4436811371267555,0.0,0.4436811371267555,0.0,2024-07-14 14:25:42,62,22.575238704681396,0.0
uta-s-92,66,0.4162468860385929,0.0,0.4162468860385929,0.0,2024-07-14 14:47:10,19,1288.7313659191132,0.0
yor-f-83,67,0.4552698682532937,0.0,0.4552698682532937,0.0,2024-07-14 14:51:20,92,249.7178909778595,0.0
hec-s-92,68,0.4337863327989276,0.0,0.39770431962899555,0.0,2024-07-14 14:51:31,27,10.669159650802612,0.03608201316993204
lse-f-91,69,0.4569145203268704,0.0,0.4569145203268704,0.0,2024-07-14 14:57:26,21,355.61193466186523,0.0
