File Name,Trial Number,Initial Soft Constraints,Initial Hard Constraints,Final Soft Constraints,Final Hard Constraints,Timestamp,feasible size,Elapsed Time (seconds),Improvement
ear-f-83,62,0.434570769,0,0.434570769,0,14-07-2024 14:22,86,26.77372122,0
kfu-s-93,63,0.486140907,0,0.486140907,0,14-07-2024 14:24,76,130.4948516,0
sta-f-83,64,0.523136777,0,0.523136777,0,14-07-2024 14:25,30,51.51479363,0
tre-s-92,65,0.443681137,0,0.443681137,0,14-07-2024 14:25,62,22.5752387,0
uta-s-92,66,0.416246886,0,0.416246886,0,14-07-2024 14:47,19,1288.731366,0
yor-f-83,67,0.455269868,0,0.455269868,0,14-07-2024 14:51,92,249.717891,0
hec-s-92,68,0.433786333,0,0.39770432,0,14-07-2024 14:51,27,10.66915965,0.036082013
lse-f-91,69,0.45691452,0,0.45691452,0,14-07-2024 14:57,21,355.6119347,0
rye-s-93,70,0.433573065,0,0.433315864,0,14-07-2024 15:05,28,509.8102047,0.000257202
ute-s-92,71,0.478797222,0,0.478534984,0,14-07-2024 15:07,22,64.6792028,0.000262238
car-s-91,72,0.407262417,0,0.407262417,0,14-07-2024 15:22,87,928.5825019,0
car-f-92,73,0.410319305,0,0.410319305,0,14-07-2024 15:27,82,315.6748831,0
ear-f-83,74,0.430594164,0,0.411949444,0,14-07-2024 15:28,52,44.98363066,0.01864472
kfu-s-93,75,0.522875614,0,0.518937042,0,14-07-2024 15:32,2,229.6931767,0.003938572
sta-f-83,76,0.514549331,0,0.514549331,0,14-07-2024 15:32,75,9.604793787,0
tre-s-92,77,0.439412936,0,0.438302365,0,14-07-2024 15:33,67,54.56486797,0.001110571
uta-s-92,78,0.409775301,0,0.409775301,0,14-07-2024 15:53,99,1220.336587,0
yor-f-83,79,0.451657459,0,0.450621547,0,14-07-2024 15:54,30,45.47947431,0.001035912
hec-s-92,80,0.437976663,0,0.420229749,0,14-07-2024 15:54,68,2.705748796,0.017746914
lse-f-91,81,0.45363864,0,0.45363864,0,14-07-2024 15:56,36,129.5084534,0
rye-s-93,82,0.426180402,0,0.426180402,0,14-07-2024 15:57,75,58.14759326,0
ute-s-92,83,0.470436018,0,0.470436018,0,14-07-2024 15:57,86,3.730489016,0
car-s-91,84,0.40956428,0,0.40956428,0,14-07-2024 16:08,52,646.5872042,0
car-f-92,85,0.426061874,0,0.426061874,0,14-07-2024 16:15,13,403.3345847,0
ear-f-83,86,0.455204204,0,0.455204204,0,14-07-2024 16:15,15,5.110465527,0
kfu-s-93,87,0.481798808,0,0.478699498,0,14-07-2024 16:15,73,40.14486003,0.00309931
sta-f-83,88,0.520057994,0,0.519608354,0,14-07-2024 16:16,44,22.22967482,0.00044964
tre-s-92,89,0.444679377,0,0.444679377,0,14-07-2024 16:16,78,11.68550372,0
uta-s-92,90,0.409350324,0,0.409350324,0,14-07-2024 16:27,10,644.4243605,0
yor-f-83,91,0.453450382,0,0.444831067,0,14-07-2024 16:28,39,68.83552957,0.008619316
hec-s-92,92,0.481077847,0,0.481077847,0,14-07-2024 16:28,4,19.22552586,0
lse-f-91,93,0.458638898,0,0.433048347,0,14-07-2024 16:30,22,75.72110105,0.025590551
rye-s-93,94,0.42334156,0,0.42334156,0,14-07-2024 16:32,87,148.2154748,0
ute-s-92,95,0.594803227,0,0.594803227,0,14-07-2024 16:32,2,22.62630653,0
car-s-91,96,0.408664303,0,0.4075655,0,14-07-2024 16:36,62,202.4928813,0.001098803
car-f-92,97,0.419824659,0,0.419824659,0,14-07-2024 16:36,99,33.21046185,0
ear-f-83,98,0.449173891,0,0.449173891,0,14-07-2024 16:37,19,27.55702066,0
kfu-s-93,99,0.480506303,0,0.476167908,0,14-07-2024 16:38,54,48.53152752,0.004338395
car-s-91,0,0.411568895,0,0.41138561,0,14-07-2024 17:45,45,271.0424879,0.000183284
car-f-92,0,0.410984075,0,0.410984075,0,14-07-2024 17:49,49,99.55138636,0
car-f-92,1,0.407614507,0,0.407614507,0,14-07-2024 17:55,68,377.5301139,0
car-f-92,2,0.425191599,0,0.425191599,0,14-07-2024 18:01,14,321.0354619,0
car-f-92,3,0.416341203,0,0.416341203,0,14-07-2024 18:02,91,65.53855443,0
car-f-92,4,0.418950383,0,0.417338965,0,14-07-2024 18:04,62,112.1150808,0.001611418
car-f-92,5,0.41402051,0,0.41402051,0,14-07-2024 18:05,76,57.92766738,0
car-f-92,6,0.414376857,0,0.414376857,0,14-07-2024 18:06,86,77.64277339,0
car-f-92,7,0.415688076,0,0.414997468,0,14-07-2024 18:11,7,320.5343835,0.000690608
car-f-92,8,0.408243934,0,0.407438225,0,14-07-2024 18:13,21,76.6797936,0.000805709
car-f-92,9,0.410213223,0,0.410213223,0,14-07-2024 18:15,97,137.4679761,0
