File Name,Trial Number,Initial Soft Constraints,Initial Hard Constraints,Final Soft Constraints,Final Hard Constraints,Timestamp,feasible : infeasible
ear-f-83,2,1.035495980981036,0.0,1.0348772057935367,0.0,2024-07-13 00:40:52,67:33
kfu-s-93,3,1.725682802089173,0.0,1.7237847543668303,0.0,2024-07-13 00:41:56,40:60
sta-f-83,4,4.294770628102876,0.0,4.294770628102876,0.0,2024-07-13 00:42:16,26:74
tre-s-92,5,0.7993421566550494,0.0,0.7993421566550494,0.0,2024-07-13 00:42:24,46:54
uta-s-92,6,0.6008571399636065,0.0,0.6008571399636065,0.0,2024-07-13 00:43:49,68:32
yor-f-83,7,0.8426476838079049,0.0,0.834015087122822,0.0,2024-07-13 00:44:29,42:58
car-s-91,8,0.5854071883015852,0.0,0.5854071883015852,0.0,2024-07-13 00:46:02,45:55
car-f-92,9,0.6986123733233929,0.0,0.6986123733233929,0.0,2024-07-13 00:52:15,42:58
ear-f-83,10,0.9939606278893562,0.0,0.9933770602962654,0.0,2024-07-13 00:52:24,46:54
kfu-s-93,11,1.6960434693465132,0.0,1.6960434693465132,0.0,2024-07-13 00:53:25,86:14
sta-f-83,12,4.340339929359915,0.0,4.3362931667699876,0.0,2024-07-13 00:53:30,29:71
tre-s-92,13,0.7896162083151324,0.0,0.7896162083151324,0.0,2024-07-13 00:53:41,56:44
uta-s-92,14,0.5941656575754308,0.0,0.5920555289580676,0.0,2024-07-13 00:56:27,35:65
yor-f-83,15,0.867668933276668,0.0,0.867668933276668,0.0,2024-07-13 00:57:06,40:60
car-s-91,16,0.6003200291464952,0.0,0.5989286250707466,0.0,2024-07-13 01:09:21,13:87
car-f-92,17,0.6880761016505655,0.0,0.6880761016505655,0.0,2024-07-13 01:10:23,62:38
ear-f-83,18,1.0263149659042243,0.0,1.0218691320675986,0.0,2024-07-13 01:10:31,65:35
kfu-s-93,19,1.7075462799534578,0.0,1.7037501845087721,0.0,2024-07-13 01:12:21,20:80
sta-f-83,20,4.562054266796555,0.0,4.562054266796555,0.0,2024-07-13 01:12:24,2:98
tre-s-92,21,0.8260138164756583,0.0,0.8260138164756583,0.0,2024-07-13 01:12:32,9:91
uta-s-92,22,0.6042456013699773,0.0,0.6042456013699773,0.0,2024-07-13 01:14:11,18:82
yor-f-83,23,0.8546005099872503,0.0,0.8325010624734381,0.0,2024-07-13 01:15:07,31:69
car-s-91,24,0.5946415060766783,0.0,0.5946415060766783,0.0,2024-07-13 01:23:17,22:78
car-f-92,25,0.6999227197303733,0.0,0.6999227197303733,0.0,2024-07-13 01:24:55,84:16
ear-f-83,26,1.0247316536176663,0.0,1.0096000746702978,0.0,2024-07-13 01:25:04,31:69
kfu-s-93,27,1.7091533007469062,0.0,1.7091533007469062,0.0,2024-07-13 01:26:20,83:17
sta-f-83,28,4.2701110653837535,0.0,4.2701110653837535,0.0,2024-07-13 01:26:33,93:7
tre-s-92,29,0.7937509100476131,0.0,0.7937509100476131,0.0,2024-07-13 01:26:49,54:46
uta-s-92,30,0.5983559594859814,0.0,0.5983559594859814,0.0,2024-07-13 01:28:23,75:25
yor-f-83,31,0.8696610709732258,0.0,0.8665533361665959,0.0,2024-07-13 01:29:06,38:62
car-s-91,32,0.5818255122128654,0.0,0.5813253744575114,0.0,2024-07-13 01:33:15,73:27
car-f-92,33,0.6911170601367814,0.0,0.6911170601367814,0.0,2024-07-13 01:34:49,87:13
ear-f-83,34,1.041964707303414,0.0,1.040415641780228,0.0,2024-07-13 01:35:00,63:37
